,Titre,Commentaires,Date,Lien,Auteur,Lien auteur
75,"En 2018, le Lausanne Bondy Blog souhaite que…",2,2018-01-08T22:12:10+00:00,https://www.lausannebondyblog.ch/en-2018-le-lausanne-bondy-blog-souhaite-que/,Billet collectif du LBB,['https://www.lausannebondyblog.ch/author/admin/']
76,OCUB 110 : En route pour 2018 !,0,2017-12-27T21:19:13+00:00,https://www.lausannebondyblog.ch/ocub-110-en-route-pour-2018/,Camille Borgeaud,['https://www.lausannebondyblog.ch/author/camille/']
77,"Bô Noël, vin chaud et textes d’impro",0,2018-06-13T14:38:37+00:00,https://www.lausannebondyblog.ch/bo-noel-vin-chaud-et-textes-dimpro/,Billet collectif du LBB,['https://www.lausannebondyblog.ch/author/admin/']
78,Chapelier Fou aux commandes de Satellite pour un concert insolite,0,2017-12-17T21:58:37+00:00,https://www.lausannebondyblog.ch/chapelier-fou-aux-commandes-de-satellite-pour-un-concert-insolite/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
79,Des petits moyens au service de nobles causes : soutenez les associations lausannoises,0,2017-12-14T17:07:12+00:00,https://www.lausannebondyblog.ch/des-petits-moyens-au-service-de-nobles-causes-soutenez-les-associations-lausannoises/,Billet collectif du LBB,['https://www.lausannebondyblog.ch/author/admin/']
80,"OCUB 109 : Ciné, DJing, impro, aquarelle et marché solidaire",0,2017-12-13T17:15:59+00:00,https://www.lausannebondyblog.ch/ocub-109-cine-djing-impro-aquarelle-et-marche-solidaire/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
81,« Guerrilla » ou 80 Lausannois sur scène au Théâtre de Vidy,0,2017-12-11T23:27:51+00:00,https://www.lausannebondyblog.ch/guerrilla-ou-80-lausannois-sur-scene-a-vidy/,Julie Collet,['https://www.lausannebondyblog.ch/author/julie/']
82,Une montre lausannoise ? A la bonne heure !,0,2018-04-15T11:55:07+00:00,https://www.lausannebondyblog.ch/une-montre-lausannoise-a-la-bonne-heure/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
83,"OCUB 108 : Théâtre, DJ et sports d’hiver en tête d’affiche",0,2017-12-08T14:05:12+00:00,https://www.lausannebondyblog.ch/ocub-108-theatre-dj-et-sports-dhiver-en-tete-daffiche/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
84,La littérature romande ça vous inspire ? – « Hermine blanche et autres nouvelles »,0,2017-11-27T18:25:04+00:00,https://www.lausannebondyblog.ch/la-litterature-romande-ca-vous-inspire-hermine-blanche-et-autres-nouvelles/,Camille Borgeaud,['https://www.lausannebondyblog.ch/author/camille/']
85,La gravité est une loi universelle,1,2018-02-05T16:20:48+00:00,https://www.lausannebondyblog.ch/la-gravite-est-une-loi-universelle/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
86,Réaction d’une lectrice à l’article « VIANDE = SOUFFRANCE »,1,2017-11-29T10:52:26+00:00,https://www.lausannebondyblog.ch/reaction-dune-lectrice-a-larticle-viande-souffrance/,Carte blanche,['https://www.lausannebondyblog.ch/author/carte-blanche/']
87,« Passion simple » au Théâtre de Vidy,0,2017-11-21T14:39:49+00:00,https://www.lausannebondyblog.ch/passion-simple-au-theatre-de-vidy/,Julie Collet,['https://www.lausannebondyblog.ch/author/julie/']
88,"Lausanne, ça fout les jetons : notre top des lieux glauques",0,2017-11-17T16:21:36+00:00,https://www.lausannebondyblog.ch/lausanne-ca-fout-les-jetons-notre-top-des-lieux-glauques/,Billet collectif du LBB,['https://www.lausannebondyblog.ch/author/admin/']
89,"OCUB 107 : Metal, funk turc, piscine à boules, court-métrages, conférences, musée et… atelier de couture !",0,2017-11-15T12:14:55+00:00,https://www.lausannebondyblog.ch/ocub-107-metal-funk-turc-piscine-a-boules-court-metrages-conferences-musee-et-atelier-de-couture/,Mathieu Droux,['https://www.lausannebondyblog.ch/author/mathieu/']
90,"Le rock se meurt, ses icônes demeurent",0,2017-11-14T12:03:16+00:00,https://www.lausannebondyblog.ch/le-rock-se-meurt-ses-icones-demeurent/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
91,Lausanne à portée de petit budget : quelques bons plans non-exhaustifs,0,2017-11-06T19:38:52+00:00,https://www.lausannebondyblog.ch/lausanne-a-portee-de-petit-budget-quelques-bons-plans-non-exhaustifs/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
